pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_PYRIMIDINE_METABOLISM,0.984276729559748,0.995918367346939,0.0353157046479879,-0.155807702603031,-0.668159420248853,94,NT5C2 UCKL1 POLR2B POLR3B CMPK2 POLR2J3 ENTPD1 NME1 NME2 CTPS1 POLR1A POLR2F POLR2J ITPA POLR3K TK1 DHODH POLA1 POLA2 NME6 POLR3F
KEGG_PYRUVATE_METABOLISM,0.516407599309154,0.958090185676393,0.0699458736501659,-0.269378536118966,-0.963325787224128,37,PKM LDHA ACACA HAGHL ACACB ALDH3A2 ME1 DLD GRHPR ACAT1 DLAT HAGH
KEGG_TRYPTOPHAN_METABOLISM,0.563218390804598,0.958090185676393,0.0802023444698144,0.247647872231623,0.938358585309104,35,MAOA DDC AOC1 HAAO TDO2 HADH IL4I1 AOX1 AANAT CAT HADHA INMT
KEGG_TYROSINE_METABOLISM,0.0342410635953733,0.294473146920211,0.321775918075361,0.39460752215885,1.47484713363083,34,MAOA AOC3 DDC TH GOT1 ALDH3B2 TRMT11 GOT2 LCMT1 FAH IL4I1 PNMT AOX1 METTL2B MIF ALDH3B1 DCT
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.491349480968858,0.958090185676393,0.0725351864394589,-0.264854836548051,-0.976084297714617,42,MCCC2 ECHS1 MCCC1 ACAA1 EHHADH HSD17B10 ACAD8 ALDH3A2 DLD ACAT1
MOOTHA_MITOCHONDRIA,0.995918367346939,0.995918367346939,0.080419996876154,0.143704642032453,0.812855410558373,429,CYP11A1 CYP2E1 PKLR MAOA SHMT2 SLC25A23 BCKDK HSPA9 SLC25A37 CA5A PAM16 TP53AIP1 UQCRFS1 NDUFA3 COX15 MPO NDUFA7 TWNK NR3C1 DIABLO MRPS16 GLS2 TIMM17B SDHB MRPS34 OXA1L SLC25A32 MRPS12 POLR1B SDHA IMMT MRPL17 NDUFA4 MRPS33 HAX1 SARDH TIMM10B FAM3A PYCR1 ALAS1 ATP5ME TYMP SLC1A2 ACAA2 UQCRH MRPL2 ATP5IF1 SLC25A28 POLG2 LMF2 AFG3L2 MTHFD1 HCCS TNFSF10 GOT2 STARD3 NDUFB4 MRPL46 SURF1 HADH CPT1B HSPD1 TST TIMM8A CRY1 MRPL4 ME2 MRPL22 GATM COQ8A ECI1 NDUFA1 ACADVL SLC25A36 AMACR TIMM44 MRPS18B MPST CLPX MRPS18A NFS1 TOMM20 PCK2 BNIP3L DDX28 SLC25A1 APP BCAT2 TIMM9 PRPF6 MDH2 G6PD PMPCB AK2 COX7C HTRA2 TFAM NDUFB1 FDXR FPGS MRPL49 ANXA7 ATP5F1B PIN4 AZIN1 CAT POR
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,0.00477981944710664,0.0685107454085285,0.407017918923954,-0.660155339337474,-1.71208902335668,11,ACACA MCCC2 MCCC1 ACACB SLC5A6
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0.425795053003534,0.958090185676393,0.0810802057550866,-0.32725369597514,-1.02639173298233,21,MCCC2 ECHS1 MCCC1 HSD17B10 ACAD8 DLD ACAT1
REACTOME_FATTY_ACID_METABOLISM,0.841359773371105,0.995918367346939,0.0702812841717392,0.174331251540639,0.875409265145597,151,THRSP GPX2 ACOT13 PRKAB2 MID1IP1 TECR NUDT7 ACOT8 HSD17B8 ALOX5 MECR ELOVL3 ACSL6 ACBD4 ACSF2 ACSM6 ACSL4 PON3 ACAA2 FADS1 SLC27A3 HSD17B12 ALOX5AP DPEP1 SCD5 HADH CPT1B ECI1 LTA4H ACADVL ACBD6 AMACR TBXAS1 ALOX15 SLC25A1 MCEE ACOT1 CYP2C8 PTGS2 HACD2 RXRA SCD
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,0.35781990521327,0.905073877892389,0.108394255853397,0.289216405740935,1.06591625329974,33,TECR HSD17B8 ELOVL3 ACSL6 ACSL4 SLC27A3 HSD17B12 SCD5 SLC25A1 HACD2 SCD ELOVL6 ACSL3
REACTOME_GLUCONEOGENESIS,0.298823529411765,0.905073877892389,0.119887845115423,0.301360207731719,1.09961579241614,32,GAPDHS ENO3 FBP2 ALDOA GOT1 ALDOC GOT2 MDH1 PCK2 SLC25A1 MDH2 PCK1 G6PC3
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,0.958549222797927,0.995918367346939,0.0409055783172035,-0.182929973781797,-0.614135995875052,29,TXN NME1 NME2 GLRX CTPS1 AK9
REACTOME_KETONE_BODY_METABOLISM,0.868131868131868,0.995918367346939,0.0565299525056311,0.277741801757016,0.70141929615021,9,OXCT2 HMGCL OXCT1 ACSS3
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1.47944142970567e-13,6.36159814773439e-12,0.943632225232838,0.389585088526582,2.17089010181283,339,NMRAL1 UBA52 RPS14 ASS1 SHMT1 RPL32 RPL26 RPS16 BCKDK RPS20 SQOR PSME2 CKMT1A RPL18A DDC RPS27L RPS8 RPL35 AGMAT PSMD10 GNMT RPS12 RPL39 ETHE1 RPL28 RPL31 RPS2 RPS15 RPL36A DMGDH GLS2 LIPT1 RPS24 RPS27 RPL12 RPL21 DHTKD1 PSME1 MRI1 RPL17 RPL13 HIBADH RPL13A RPL6 PSAT1 HAAO RPS18 RPS17 RPLP0 NAALAD2 RPL37 RPS29 RPL38 RPL37A RPL27A RPS15A RPS5 RPL18 RPS25 RPL7 PRODH AASS QDPR RPL4 RPS26 RPL41 PAPSS2 SEM1 TH PSMB4 RPS28 SARDH PYCR1 RPLP2 RPL34 GCAT RPL14 RPS3A PHGDH GPT2 RPL36 RPL30 GOT1 RPL23A RPS19 RPL5 BCAT1 RPL36AL SLC3A2 RPL23 RPL26L1 TDO2 RPS3 GOT2 MTR PSMB2 RPL7A ASNS RPS11 PSMA1 SERINC5 PPM1K PSMF1 FAH SLC5A5 TST RPL35A IL4I1
REACTOME_MITOCHONDRIAL_BIOGENESIS,0.158982511923688,0.68362480127186,0.137250779610133,-0.285349346188999,-1.2135488893888,89,CRTC1 CRTC3 ESRRA ATP5F1C MED1 NCOA1 GABPA MTX2 CREBBP MAPK12 CHD9 HDAC3 NCOA2 ATP5MC2 ATP5MC3 CREB1 TBL1X CRTC2 NCOA6 ATP5PB PRKAA2 ATP5PO SSBP1 USP46 IDH2 HCFC1 NCOR1 PPARA MEF2C
REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT,0.821554770318021,0.995918367346939,0.0489954089862481,-0.237483375667485,-0.746223021829451,22,AKAP1 VDAC3 SMDT1 MAIP1 VDAC1 SPG7 MICU3 PMPCA
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,0.579310344827586,0.958090185676393,0.0787113806986485,0.245745127650677,0.931148926299756,35,ACOT13 MECR ACSF2 ACSM6 ACAA2 HADH ECI1 ACADVL ACBD6 MCEE ACOT1
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS,0.647321428571429,0.995918367346939,0.0714786287425507,0.311572012105829,0.849483367418744,11,MECR ACSM6 HADH ACADVL HADHA
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS,0.787003610108303,0.995918367346939,0.0519512476197082,-0.335987215381812,-0.717205658783668,6,DECR1 ACADM
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.204188481675393,0.798191337458353,0.157402899305283,0.269999513351847,1.14726869998902,63,LDHD HSPA9 PAM16 TOMM5 TIMM17B TIMM10B TOMM7 SLC25A6 HSPD1 TIMM8A CHCHD10 HSCB TIMM44 TOMM20 TIMM21 SAMM50 GRPEL2 CHCHD5 TIMM9 PMPCB ATP5F1B CMC4 TIMM10 TIMM17A TOMM22 TIMM50 GFER
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,0.788888888888889,0.995918367346939,0.0615706755421678,0.240890972892788,0.774510453246919,18,TARS2 PPA2 AARS2 VARS2 PARS2 SARS2 EARS2
REACTOME_PURINE_CATABOLISM,0.816112084063047,0.995918367346939,0.0488970772260102,-0.260260799203752,-0.743259536800596,15,NT5C2 XDH GDA ITPA
REACTOME_PYRIMIDINE_CATABOLISM,0.140043763676149,0.68362480127186,0.175204047558551,0.507403195727643,1.32290378432688,10,UPB1 TYMP DPYS UPP1
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,0.747767857142857,0.995918367346939,0.0643583367917361,0.34500531293516,0.769053136736516,6,DIABLO GSDMD
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.307262569832402,0.905073877892389,0.130105630751129,0.231672990040173,1.07536113710879,102,NDUFV3 MT-CO2 NDUFAF2 UQCRFS1 NDUFAF3 NDUFA3 NDUFA7 NUBPL TRAP1 SDHB SDHA NDUFA4 MT-ND4
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,0.549132947976879,0.958090185676393,0.0943563635421779,0.202932873300217,0.970286263034861,123,NDUFV3 SLC25A27 MT-CO2 NDUFAF2 UQCRFS1 NDUFAF3 NDUFA3 NDUFA7 NUBPL TRAP1 SDHB SDHA NDUFA4 MT-ND4
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,0.146788990825688,0.68362480127186,0.175204047558551,0.384982792732002,1.26271622908548,21,TECR ELOVL3 ACSL6 ACSL4 SLC27A3 HSD17B12
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.995461422087746,0.995918367346939,0.0329431471724691,-0.147277867464784,-0.687452126590007,171,PDPR ATP5F1C NDUFAF1 MT-ND2 LDHA IDH3B NDUFAF5 NDUFA5 MT-ND1 NNT TACO1 ETFA COA1 ETFB NDUFB2 NDUFS3 NDUFS6 SUCLA2 ATP5MC2 ME1 ATP5MC3 DLD ATP5PB NDUFAF6 NDUFAB1 ATP5PO PDK2 NDUFB7 DLAT NDUFC1 PDK4 VDAC1 SLC25A14 NDUFS2 HAGH IDH2 NDUFB8 NDUFS8 OGDH NDUFB5 TMEM126B FAHD1 MT-ATP6 TIMMDC1 NDUFS4 NDUFAF7 MT-ATP8 ATP5PF ATP5MG MT-CYB PDP2 NDUFB11 ETFDH CYCS ATP5PD NDUFA2 LRPPRC MT-ND6 NDUFC2 PDK3 NDUFAF4
WONG_MITOCHONDRIA_GENE_MODULE,0.993548387096774,0.995918367346939,0.0684714904492088,0.143948327500296,0.755759414288724,211,PTRH2 MAOA AGMAT UQCRFS1 CRYZ NDUFA3 NDUFA7 DIABLO MRPS16 TIMM17B SDHB SLC25A32 NDUFA4 MRPS33 ATP6AP1 HAX1 GCAT ATP5ME TOMM7 SLC16A3 ATP6V1B1 HCCS GOT2 NDUFB4 SURF1 UQCRQ SLC25A39 CRYZL1 ABCB6 ATP6V1F HSCB ECI1 NDUFA1 MRPS18B SEC61G MRPS18A NFS1 NDUFV1 PCK2 GRPEL2 SLC25A1 MCEE AK2 COX7C TFAM NDUFB1 FDXR COX18 MRPL49 ATP5F1B UNG ATP1B1 GLUD1 CLPP DAP3 COX7A1 GPD2 TIMM10 MRPL45
WP_GLYCOLYSIS_AND_GLUCONEOGENESIS,0.127403846153846,0.68362480127186,0.193813302725311,0.333943383365112,1.29836356728354,39,PKLR PFKL PFKP SLC2A4 ENO3 FBP2 ALDOA LDHC GOT1 MPC1 ALDOC GOT2
WP_TRIACYLGLYCERIDE_SYNTHESIS,0.332594235033259,0.905073877892389,0.108820126769161,0.329534762000033,1.07876245975236,19,GPAM DGAT1 AGPAT3 DGAT2
